frame_nmr,vehicle_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,4.0,[2198.0 1045.0 2775.0 1732.0],[2416 1559 2581 1641],0.5623583197593689,NW51TSU,0.4180470914615204
2,4.0,[2196.9712904733315 1048.9973786070343 2773.911167657594 1751.0607582432528],[2414 1567 2581 1650],0.520747721195221,NU51VSU,0.3968526148452795
3,4.0,[2196.532525332843 1051.380258992634 2774.3775965058057 1757.887778539502],[2416 1570 2585 1653],0.5774152278900146,MU51VSU,0.1840019018577606
4,4.0,[2196.7304997631113 1053.1518906523856 2775.764460429165 1760.237923262754],[2415 1572 2586 1655],0.5973480939865112,HW51VSU,0.05906501979502666
5,1.0,[750.0100932126811 1389.7749725754156 1415.6038165700406 2006.2983590312133],[966 1801 1182 1892],0.46849602460861206,NA13NRU,0.3863135998858712
10,1.0,[732.8411453191907 1409.5436839856752 1406.449732147838 2045.5741735124689],[948 1844 1162 1932],0.535510241985321,NA13MRU,0.16879634139498276
11,4.0,[2210.894882216985 1155.3058756037772 2774.5097672613474 1802.1233071712204],[2422 1616 2597 1699],0.5727843046188354,MV51VSU,0.6004285995304324
12,1.0,[728.5609561900117 1426.0806433465475 1402.4535760167462 2064.2662176245863],[954 1857 1157 1948],0.5497658252716064,MA13NRU,0.3825367560968411
13,1.0,[723.8849281034078 1434.8719571233 1399.7295474464313 2072.160451638754],[965 1863 1152 1956],0.5532577037811279,MA13NRU,0.19608668876139634
14,4.0,[2209.0641681940706 1172.5114168040504 2779.5694452410244 1815.8639646568445],[2430 1630 2602 1711],0.6333568096160889,AV51VSU,0.3184297265258473
15,1.0,[711.1746623484892 1449.0268842048445 1389.3586702348566 2083.2723973004236],[932 1885 1140 1975],0.5196604132652283,NA13NRU,0.3312862271453209
17,1.0,[699.1069053443014 1456.941059632716 1379.904932874878 2086.375062410155],[929 1902 1138 1991],0.4672667980194092,NA13NRU,0.3858578350308527
18,1.0,[696.9579360337668 1459.6784536489913 1379.0059314713715 2078.637987358038],[916 1904 1137 1998],0.5494695901870728,NA13NRU,0.2767416554526793
21,1.0,[675.0488785550292 1492.1827488094023 1371.1688147900882 2110.995792699514],[919 1935 1131 2026],0.5076856017112732,NA13NRU,0.347784691079948
21,3.0,[1200.1300273356376 1059.083549535349 1726.180408924006 1498.1721512770282],[1407 1320 1539 1408],0.4789814352989197,CX15OGJ,0.16805249426770236
22,1.0,[669.1449428547255 1498.3998056974929 1370.4451538700507 2123.8932953481603],[907 1944 1131 2036],0.49834194779396057,NA13NRU,0.39288476981463055
23,1.0,[661.5298103291607 1506.626865368111 1370.5597442038463 2137.4861055315314],[903 1949 1119 2042],0.5375736355781555,NA13MRU,0.6909625705396101
24,4.0,[2236.8262576706 1225.9270274498392 2803.988302487639 1843.69372254642],[2447 1698 2622 1784],0.627248227596283,MT51VSU,0.13524582342757693
24,1.0,[656.273619360428 1511.0827661541277 1371.2530003227898 2140.1616521556207],[897 1960 1119 2060],0.5235109329223633,MA13NRU,0.5492210791710394
25,1.0,[651.0833511095678 1515.673974608997 1371.682941183501 2141.707734211164],[915 1967 1117 2063],0.4911789894104004,NA13MRU,0.5815000424730442
26,4.0,[2235.3369531777016 1254.5682976034914 2806.9106313878337 1864.267307751316],[2439 1709 2621 1797],0.6090481877326965,MJ51MSU,0.02066239084883575
26,1.0,[648.6313312078748 1522.393802707395 1374.5205554643355 2142.0808051029153],[904 1979 1110 2071],0.4417278468608856,NA13NRU,0.37918175920689773
27,1.0,[647.1716261825964 1529.3700192563876 1369.808351778094 2139.3157071790265],[916 1993 1114 2084],0.5111789107322693,NA13MRU,0.42797262081867454
28,1.0,[648.4394579473615 1537.100144827903 1371.6296646054222 2143.8741924552965],[910 1998 1109 2088],0.5313583612442017,NA13MRU,0.3869795491921608
