frame_nmr,vehicle_id,speed
4,1,38
4,2,65
4,3,40
4,4,16
4,7,33
4,8,31
4,9,113
5,1,48
5,2,71
5,3,37
5,4,14
5,7,42
5,8,27
5,9,114
5,12,9
5,13,47
6,1,57
6,4,13
6,7,52
6,8,22
6,9,114
6,12,14
6,13,45
6,14,27
7,1,66
7,4,12
7,7,63
7,8,17
7,9,114
7,12,18
7,13,43
7,14,23
7,16,14
7,17,100
7,18,88
7,19,41
7,20,27
8,1,74
8,7,72
8,8,13
8,9,115
8,12,21
8,14,20
8,16,17
8,17,100
8,18,82
8,19,49
8,20,21
8,21,44
9,7,81
9,8,12
9,9,115
9,12,24
9,14,19
9,17,99
9,18,77
9,19,59
9,20,17
9,21,42
10,7,89
10,8,15
10,9,115
10,12,27
10,14,19
10,17,98
10,18,68
10,19,68
10,20,12
10,21,42
10,22,36
10,23,51
10,25,15
11,8,19
11,9,115
11,17,97
11,18,60
11,19,76
11,20,9
11,21,41
11,22,34
11,23,51
11,25,10
11,26,25
12,8,25
12,9,115
12,17,95
12,18,56
12,20,12
12,21,42
12,22,30
12,25,7
12,26,23
12,27,53
12,28,72
12,29,9
13,8,33
13,9,115
13,17,93
13,20,16
13,21,43
13,22,25
13,25,8
13,26,20
13,27,46
13,28,78
13,29,7
14,8,40
14,9,115
14,17,90
14,20,20
14,21,46
14,22,21
14,25,13
14,27,41
14,28,81
14,29,8
15,8,49
15,9,116
15,17,86
15,21,46
15,22,18
15,25,22
15,27,38
15,29,14
15,34,54
15,35,34
16,8,58
16,9,115
16,17,82
16,21,45
16,22,16
16,25,34
16,27,33
16,29,20
16,34,52
16,35,30
16,36,16
16,37,30
16,38,74
16,39,37
17,8,64
17,9,113
17,17,78
17,21,47
17,22,15
17,25,41
17,27,30
17,29,28
17,35,27
17,36,11
17,37,26
17,38,74
17,39,34
